PLAN_REF,FGDATE,PROPOSAL,APPDATE,LOCATION,STAGE,DECDATE,REGDATE,APPTYPE,DECISION
3987/16,27-01-2017,PROTECTED STRUCTURE:,26-10-2016,Site at Oisin House,Decision Notices Iss,09-12-2016,26-10-2016,Permission,GRANT PERMISSION
3093/19,NULL,Permission to amend,24-05-2019,site of c. 0.35 hect,Registered applicati,NULL,24-05-2019,Permission,NULL
2997/19,NULL,Permission for devel,15-05-2019,31-34 Abbey Street U,Registered applicati,NULL,15-05-2019,Permission,NULL
6380/06,21-12-2007,Development involves,04-12-2006,31-34  Abbey Street,Appeal Decided,30-08-2007,03-08-2007,Permission,GRANT PERMISSION
3037/16,14-06-2017,Site of 0.3536ha at,02-06-2016,Hawkins House  Hawki,Appeal Decided,19-12-2016,22-11-2016,Permission,GRANT PERMISSION
2825/18,20-07-2018,The proposed develop,24-04-2018,60-63  Dawson Street,Decision Notices Iss,15-06-2018,24-04-2018,Permission,GRANT PERMISSION
2625/18,28-06-2018,Amendments to previo,29-03-2018,60-63  Dawson Street,Decision Notices Iss,23-05-2018,29-03-2018,Permission,GRANT PERMISSION
3847/16,10-07-2017,Planning permission,30-09-2016,60-63  Dawson Street,Appeal Decided,21-02-2017,25-01-2017,Permission,GRANT PERMISSION
0372/03,02-05-2003,Provision of male &,03-02-2003,60-63  Dawson Street,Decision Appealed,27-03-2003,03-02-2003,Permission,GRANT PERMISSION
2836/15,10-02-2016,PROTECTED STRUCTURE:,22-05-2015,1-6  Sir John Rogers,Appeal Decided,16-07-2015,22-05-2015,Permission,GRANT PERMISSION
3244/07,NULL,PROTECTED STRUCTURE-,18-05-2007,Site at 1-6 Sir John,Appeal Decided,12-07-2007,18-05-2007,Permission,REFUSE PERMISSION
1057/08,03-11-2008,PROTECTED STRUCTURE-,08-01-2008,Site at 1-6 Sir John,Appeal Decided,03-03-2008,08-01-2008,Permission,GRANT PERMISSION
4238/17,23-02-2018,PROTECTED STRUCTURE:,10-11-2017,Nos. 1  2  3  4  5 a,Decision Notices Iss,11-01-2018,10-11-2017,Permission,GRANT PERMISSION
4156/16,01-03-2017,PROTECTED STRUCTURE:,18-11-2016,1 2 3 4 5 and 6  Sir,Decision Notices Iss,17-01-2017,18-11-2016,Permission,GRANT PERMISSION
2050/17,18-05-2017,PROTECTED STRUCTURE:,13-01-2017,Lands at Nos. 1  2,Decision Notices Iss,05-04-2017,10-03-2017,Permission,GRANT PERMISSION
2342/14,NULL,PROTECTED STRUCTURE:,11-03-2014,St Mary's Pro Cathed,Decision Notices Iss,13-03-2014,11-03-2014,Permission,APPLICATION DECLARED
4446/16,06-04-2017,PROTECTED STRUCTURE:,22-12-2016,1 2 3 4 5 and 6  Sir,Decision Notices Iss,24-02-2017,22-12-2016,Permission,GRANT PERMISSION
4656/03,22-12-2003,5 no. internally ill,22-09-2003,Roches Stores  54/62,Decision Appealed,12-11-2003,22-09-2003,Permission,GRANT PERMISSION
3086/06,15-08-2006,Change of use of exi,23-05-2006,Dunnes Stores  48-50,Decision Appealed,11-07-2006,23-05-2006,Permission,GRANT PERMISSION
2423/06,NULL,change of use from e,11-04-2006,Dunnes Stores  Nos 4,Decision Notices Iss,26-04-2006,11-04-2006,Permission,APPLICATION DECLARED
3172/18,14-03-2019,Construction of a 9,05-06-2018,0.35 hectares at Nos,Decision Appealed,04-12-2018,07-11-2018,Permission,GRANT PERMISSION
2095/07,NULL,Additional wording t,12-03-2007,Ulster Bank Group Ce,Decision Notices Iss,20-03-2007,12-03-2007,Permission,APPLICATION DECLARED
6032/06,19-02-2007,Mixed use developmen,10-11-2006,2/3  Hanover Street,Decision Notices Iss,12-01-2007,10-11-2006,Permission,GRANT PERMISSION
5521/06,NULL,Mixed use developmen,12-10-2006,2/3  Hanover Street,Decision Notices Iss,25-10-2006,12-10-2006,Permission,APPLICATION DECLARED
2584/07,16-07-2007,Amendments to existi,10-04-2007,Ulster Bank Group Ce,Decision Notices Iss,31-05-2007,10-04-2007,Permission,GRANT PERMISSION
2586/15,NULL,Alterations to shop,13-04-2015,54-62  Henry Street,Decision Notices Iss,17-04-2015,13-04-2015,Permission,APPLICATION DECLARED
4200/08,19-05-2009,New entrance and can,27-08-2008,Parnell Plaza  58-66,Decision Notices Iss,09-04-2009,26-03-2009,Permission,GRANT PERMISSION
2448/03,NULL,Mixed Use Developmen,30-05-2003,13-21 Foley Street,Decision Notices Iss,21-07-2003,30-05-2003,Permission,APPLICATION WITHDRAW
1756/06,25-05-2006,Permission for chang,27-02-2006,58-66  Parnell Stree,Decision Appealed,19-04-2006,27-02-2006,Permission,GRANT PERMISSION
2875/07,02-08-2007,erection of 1 no. st,27-04-2007,No's 58 - 66 Parnell,Decision Notices Iss,19-06-2007,27-04-2007,Permission,GRANT PERMISSION
0714/03,27-05-2003,Change of use of car,20-02-2003,58-66  Parnell Stree,Decision Appealed,15-04-2003,20-02-2003,Permission,GRANT PERMISSION
1530/06,NULL,Change of approved r,10-02-2006,58-66  Parnell Stree,Decision Notices Iss,22-02-2006,10-02-2006,Permission,APPLICATION DECLARED
2520/07,NULL,Erection of 1 no. st,05-04-2007,58-66  Parnell Stree,Decision Notices Iss,17-04-2007,05-04-2007,Permission,APPLICATION DECLARED
2724/04,03-08-2004,erection of hotel si,30-04-2004,58-66 Parnell Street,Decision Appealed,24-06-2004,30-04-2004,Permission,GRANT PERMISSION
3241/16,09-01-2017,RETENTION:Replacemen,01-07-2016,Hilton Garden Inn Ho,Appeal Decided,25-08-2016,01-07-2016,Retention Permission,SPLIT DECISION(PERMI
WEB1107/16,NULL,Erection of hotel si,21-03-2016,1  Custom House Quay,Decision Notices Iss,01-04-2016,21-03-2016,Permission,APPLICATION DECLARED
4298/16,24-03-2017,The development cons,09-12-2016,Hilton Garden Inn Ho,Decision Notices Iss,10-02-2017,09-12-2016,Permission,GRANT PERMISSION
2941/15,21-12-2015,Extension to rear  r,05-06-2015,Jurys Inn Hotel  Cus,Appeal Decided,30-07-2015,05-06-2015,Permission,GRANT PERMISSION
2757/15,NULL,Extensions to existi,12-05-2015,Jurys Inn Hotel  Cus,Decision Notices Iss,14-05-2015,12-05-2015,Permission,APPLICATION DECLARED
2570/17,05-07-2017,A sign consisting of,28-03-2017,Hilton Garden Inn Ho,Decision Notices Iss,22-05-2017,28-03-2017,Permission,GRANT PERMISSION
3231/17,27-09-2017,Alterations to the s,23-06-2017,Hilton Garden Inn Ho,Decision Notices Iss,17-08-2017,23-06-2017,Permission,GRANT PERMISSION
WEB1079/16,NULL,Erection of hotel si,04-03-2016,1  Custom House Quay,Decision Notices Iss,14-03-2016,04-03-2016,Permission,APPLICATION DECLARED
2505/18,NULL,PROTECTED STRUCTURE;,14-03-2018,St. Marks Church Hal,Decision Notices Iss,23-03-2018,14-03-2018,Permission,APPLICATION DECLARED
2623/18,17-01-2019,PROTECTED STRUCTURE,29-03-2018,St. Mark's Church Ha,Decision Notices Iss,30-11-2018,05-11-2018,Permission,GRANT PERMISSION
6914/06,NULL,extension to existin,22-12-2006,St Marks Church  Pea,Decision Notices Iss,16-01-2007,22-12-2006,Permission,APPLICATION DECLARED
2933/19,NULL,PROTECTED STRUCTURE:,08-05-2019,Nos. 1  2  3  4  5 a,Decision Notices Iss,17-05-2019,08-05-2019,Permission,APPLICATION DECLARED
5713/05,NULL,erection of 3no. sat,18-11-2005,Georges Court  54-58,Decision Notices Iss,05-01-2006,18-11-2005,Permission,APPLICATION DECLARED
2453/05,NULL,Revisions to  ( 0630,18-04-2005,Site Known as 54-56,Appeal Decided,10-06-2005,18-04-2005,Permission,REFUSE PERMISSION
1155/06,NULL,3 no. Satellite dish,18-01-2006,Georges Court  54-58,Decision Notices Iss,26-01-2006,18-01-2006,Permission,APPLICATION DECLARED
3328/03,21-10-2003,Signage to the Henry,17-07-2003,54-62  Henry Street,Decision Appealed,09-09-2003,17-07-2003,Permission,GRANT PERMISSION
2664/13,NULL,PROTECTED STRUCTURE:,27-05-2013,Nos. 1-6  Sir John R,Appeal Decided,18-07-2013,27-05-2013,Permission,GRANT PERMISSION
1431/06,09-05-2006,Erection of 3 No. Sa,03-02-2006,Georges Court  54-58,Decision Appealed,30-03-2006,03-02-2006,Permission,GRANT PERMISSION
3036/16,14-06-2017,Demolition of existi,02-06-2016,Site of 0.2925ha at,Appeal Decided,16-12-2016,22-11-2016,Permission,GRANT PERMISSION
4085/04,08-11-2004,Erection of hotel si,09-08-2004,Jurys Inn Custom Hou,Decision Notices Iss,01-10-2004,09-08-2004,Permission,GRANT PERMISSION
3698/04,NULL,erection of Hotel si,13-07-2004,Jurys Inn Custom Hou,Decision Notices Iss,22-07-2004,13-07-2004,Permission,APPLICATION DECLARED
4593/17,05-04-2018,Demolition of existi,21-12-2017,Site of c.0.288 hect,Decision Notices Iss,23-02-2018,21-12-2017,Permission,GRANT PERMISSION
3637/17,16-07-2018,Demolitin of the exi,11-08-2017,College House  Nos.,Appeal Decided,15-12-2017,21-11-2017,Permission,GRANT PERMISSION
4167/04,NULL,Mixed use developmen,16-08-2004,13-16 Foley Street &,Decision Notices Iss,01-09-2004,16-08-2004,Permission,APPLICATION DECLARED
4566/18,19-03-2019,Permission for deve,07-12-2018,1  Central Plaza  Da,Decision Notices Iss,11-02-2019,07-12-2018,Permission,GRANT PERMISSION
4565/18,19-03-2019,Permission for devel,07-12-2018,1  Central Plaza  Da,Decision Notices Iss,11-02-2019,07-12-2018,Permission,GRANT PERMISSION
3056/06,09-08-2006,mixed use developmen,19-05-2006,13-16  Foley Street,Registered applicati,04-07-2006,19-05-2006,Permission,GRANT PERMISSION
2241/13,12-09-2013,Remodelling of exist,27-02-2013,George's Quay House,Appeal Decided,11-04-2013,27-02-2013,Permission,GRANT PERMISSION
2734/08,NULL,remodeling of the ex,09-05-2008,Georges Quay House,Decision Notices Iss,20-05-2008,09-05-2008,Permission,APPLICATION DECLARED
3143/08,02-09-2008,remodelling of the e,09-06-2008,Georges Quay House,Decision Notices Iss,22-07-2008,09-06-2008,Permission,GRANT PERMISSION
3321/07,03-09-2007,Permission sought fo,24-05-2007,George's Quay House,Decision Notices Iss,18-07-2007,24-05-2007,Permission,GRANT PERMISSION
3620/17,31-05-2018,Change of use to res,10-08-2017,The building formerl,Appeal Decided,04-10-2017,10-08-2017,Permission,GRANT PERMISSION
4570/04,30-06-2005,permission for mixed,14-09-2004,13-16  Foley Street,Decision Notices Iss,25-05-2005,28-04-2005,Permission,GRANT PERMISSION
4910/06,29-11-2006,Single storey extens,04-09-2006,13-16 Foley Street &,Decision Notices Iss,24-10-2006,04-09-2006,Permission,GRANT PERMISSION
4182/07,16-10-2007,Amendments to previo,10-07-2007,13-16  Foley Street,Decision Notices Iss,03-09-2007,10-07-2007,Permission,GRANT PERMISSION
2689/06,NULL,Mixed use developmen,26-04-2006,13-16  Foley Street,Decision Notices Iss,16-05-2006,26-04-2006,Permission,APPLICATION DECLARED
2380/14,23-06-2014,PROTECTED STRUCTURE:,19-03-2014,St. Mary's Pro-Cathe,Decision Notices Iss,09-05-2014,19-03-2014,Permission,GRANT PERMISSION
2491/09,NULL,Commercial office bu,06-03-2009,44-53  Townsend Stre,Appeal Decided,29-04-2009,06-03-2009,Permission,GRANT PERMISSION
3914/17,05-01-2018,PROTECTED STRUCTURE;,22-09-2017,The Westin Hotel 1-5,Decision Notices Iss,16-11-2017,22-09-2017,Permission,GRANT PERMISSION
3978/14,08-04-2015,PROTECTED STRUCTURE:,23-12-2014,1 2 3 4 5 & 5A Colle,Decision Notices Iss,23-02-2015,23-12-2014,Permission,GRANT PERMISSION
2499/17,22-11-2017,PROTECTED STRUCTURE:,16-03-2017,The Westin Hotel  1-,Decision Notices Iss,09-08-2017,13-07-2017,Permission,GRANT PERMISSION
1869/03,29-07-2003,Development of new c,28-04-2003,1-5a College Street,Decision Appealed,17-06-2003,28-04-2003,Permission,GRANT PERMISSION
2759/19,NULL,Planning permission,15-04-2019,Ground Floor Units 1,Decision Notices Iss,07-06-2019,15-04-2019,Permission,GRANT PERMISSION
3559/15,02-12-2015,PROTECTED STRUCTURE:,07-09-2015,Former St Andrews Ch,Decision Notices Iss,29-10-2015,07-09-2015,Permission,GRANT PERMISSION
2513/18,16-04-2019,PROTECTED STRUCTURE:,15-03-2018,St. Andrews Former T,Appeal Decided,06-11-2018,10-10-2018,Permission,GRANT PERMISSION
2978/17,21-08-2017,Dame Plaza Property,23-05-2017,The building formerl,Decision Notices Iss,12-07-2017,23-05-2017,Permission,GRANT PERMISSION
3260/17,27-09-2017,The build up of exis,28-06-2017,1  Hampton Green  Na,Decision Notices Iss,17-08-2017,28-06-2017,Permission,GRANT PERMISSION
3033/17,04-09-2017,Dame Plaza Property,30-05-2017,Building formerly kn,Decision Notices Iss,24-07-2017,30-05-2017,Permission,GRANT PERMISSION
2042/16,08-04-2016,Partial infill of th,14-01-2016,George's Quay House,Decision Notices Iss,26-02-2016,14-01-2016,Permission,GRANT PERMISSION
4260/15,NULL,Infill of existing a,17-12-2015,Georges Quay House,Decision Notices Iss,08-01-2016,17-12-2015,Permission,APPLICATION DECLARED
5916/06,14-02-2007,PROTECTED STRUCTURE-,06-11-2006,47/54  Pearse Street,Decision Notices Iss,09-01-2007,06-11-2006,Permission,GRANT PERMISSION
2848/06,NULL,Permision is sought,09-05-2006,47/54  Pearse Street,Decision Notices Iss,26-05-2006,09-05-2006,Permission,APPLICATION DECLARED
3293/06,01-09-2006,Permission for a mix,01-06-2006,47/54 Pearse Street,Appeal Decided,26-07-2006,01-06-2006,Permission,GRANT PERMISSION
3142/03,NULL,PROTECTED STRUCTURE,08-07-2003,Academy Cinema  Pear,Decision Notices Iss,25-08-2003,08-07-2003,Permission,APPLICATION DECLARED
2631/13,19-08-2013,Permission to extend,21-05-2013,International House,Decision Notices Iss,09-07-2013,21-05-2013,Permission,GRANT PERMISSION
2630/13,19-08-2013,Erection of new glaz,21-05-2013,International House,Decision Notices Iss,09-07-2013,21-05-2013,Permission,GRANT PERMISSION
5762/07,24-01-2008,Replacement of 144no,18-10-2007,9-15  O'Connell Stre,Decision Notices Iss,04-12-2007,18-10-2007,Permission,GRANT PERMISSION
4931/03,16-02-2004,PROT. STRUCTURE Alt.,09-10-2003,Academy Cinema  Pear,Appeal Decided,02-12-2003,09-10-2003,Permission,GRANT PERMISSION
5103/08,04-03-2009,PROTECTED STRUCTURE,20-11-2008,Academy Building  42,Decision Notices Iss,19-01-2009,20-11-2008,Permission,GRANT PERMISSION
3742/15,13-01-2016,Replacement of fasci,02-10-2015,39  O'Connell Street,Decision Notices Iss,23-11-2015,02-10-2015,Permission,GRANT PERMISSION
1279/06,03-05-2006,introduction of dire,26-01-2006,Central Bank & Finan,Decision Appealed,22-03-2006,26-01-2006,Permission,GRANT PERMISSION
0339/03,NULL,PROTECTED STRUCTURE,31-01-2003,Academy Cinema  Pear,Decision Notices Iss,18-03-2003,31-01-2003,Permission,APPLICATION DECLARED
4549/09,NULL,PROTECTED STRUCTURE-,22-12-2009,Trinity Capital Hote,Decision Notices Iss,12-01-2010,22-12-2009,Permission,APPLICATION DECLARED
4042/10,11-03-2011,PROTECTED STRUCTURE,25-11-2010,Trinity Capital Hote,Decision Notices Iss,28-01-2011,25-11-2010,Retention Permission,GRANT RETENTION PERM
3702/10,NULL,PROTECTED STRUCTURE-,01-10-2010,Trinity Capital Hote,Decision Notices Iss,07-10-2010,01-10-2010,Retention Permission,APPLICATION DECLARED
3764/11,NULL,PROTECTED STRUCTURE,21-12-2011,Trinity Capital Hote,Decision Notices Iss,21-02-2012,21-12-2011,Permission,REFUSE PERMISSION
3766/10,NULL,PROTECTED STRUCTURE-,13-10-2010,Trinity Capital Hote,Decision Notices Iss,18-11-2010,13-10-2010,Retention Permission,APPLICATION DECLARED
3793/13,15-10-2014,PROTECTED STRUCTURE:,23-12-2013,The Trinity Capital,Decision Notices Iss,25-02-2014,23-12-2013,Permission,GRANT PERMISSION
2535/06,29-08-2006,change of use of exi,18-04-2006,Unit no.2  Ground Fl,Decision Appealed,25-07-2006,28-06-2006,Permission,GRANT PERMISSION
WEB1004/19,NULL,The erection of four,09-01-2019,Unit 3  13-18  City,Decision Notices Iss,22-01-2019,09-01-2019,Permission,APPLICATION DECLARED
3162/17,15-09-2017,To amend previously,15-06-2017,13-18  City Quay  Du,Decision Notices Iss,09-08-2017,15-06-2017,Permission,GRANT PERMISSION
4520/17,07-06-2018,Development to amend,14-12-2017,13-18  City Quay  Du,Decision Notices Iss,02-05-2018,06-04-2018,Permission,GRANT PERMISSION
2300/10,NULL,RETENTION: Consists,25-02-2010,13-18  City Quay  Du,Appeal Decided,14-04-2010,25-02-2010,Permission,REFUSE PERMISSION
2407/15,16-03-2016,Construction of 5 to,18-03-2015,13-18  City Quay  Du,Appeal Decided,26-08-2015,05-08-2015,Permission,GRANT PERMISSION
3983/17,17-01-2018,Change of use of a p,04-10-2017,13-18  City Quay  Du,Decision Notices Iss,28-11-2017,04-10-2017,Permission,GRANT PERMISSION
5693/05,NULL,introduction of dire,17-11-2005,Central Bank and Fin,Decision Notices Iss,22-12-2005,17-11-2005,Permission,APPLICATION DECLARED
4037/18,04-01-2019,RETENTION:  Permissi,28-09-2018,Castle House  73-83,Decision Notices Iss,19-11-2018,28-09-2018,Retention Permission,GRANT RETENTION PERM
4036/18,04-01-2019,RETENTION:  Permissi,28-09-2018,Castle House  73-83,Decision Notices Iss,19-11-2018,28-09-2018,Retention Permission,GRANT RETENTION PERM
2973/09,10-08-2009,Temporary (three yea,08-05-2009,Castle House  73-83,Decision Notices Iss,26-06-2009,08-05-2009,Permission,GRANT PERMISSION
4548/09,08-04-2010,Temporary (three-yea,22-12-2009,Castle House  73-83,Decision Notices Iss,24-02-2010,22-12-2009,Permission,GRANT PERMISSION
3152/10,07-10-2010,Temporary (three-yea,08-07-2010,Castle House  73-83,Decision Notices Iss,26-08-2010,08-07-2010,Permission,GRANT PERMISSION
5950/04,19-08-2005,alterations to previ,20-12-2004,Site Principally bou,Decision Appealed,13-07-2005,17-06-2005,Permission,GRANT PERMISSION
3182/18,NULL,PROTECTED STRUCTURE:,06-06-2018,'Scots Church'  Abbe,Decision Notices Iss,16-07-2018,06-06-2018,Permission,APPLICATION DECLARED
3926/18,17-12-2018,PERMISSION & RETENTI,12-09-2018,'Scots Church'  Abbe,Decision Notices Iss,06-11-2018,12-09-2018,Retention Permission,GRANT PERMISSION AND
4419/16,05-04-2017,PROTECTED STRUCTURE:,21-12-2016,Scots Church  and Vh,Decision Notices Iss,23-02-2017,21-12-2016,Permission,GRANT PERMISSION
6060/04,06-04-2005,construction of a 7,23-12-2004,23-27 Pearse St  bou,Decision Notices Iss,25-02-2005,23-12-2004,Permission,GRANT PERMISSION
1216/03,23-06-2003,Alterations to part,20-03-2003,ILAC Shopping Centre,Decision Appealed,13-05-2003,20-03-2003,Permission,GRANT PERMISSION
3363/16,19-10-2016,Amendments to previo,19-07-2016,Dublin Exchange Faci,Decision Notices Iss,07-09-2016,19-07-2016,Permission,GRANT PERMISSION
3229/17,27-09-2017,Amendments to permit,23-06-2017,Former Dublin Exchan,Decision Notices Iss,15-08-2017,23-06-2017,Permission,GRANT PERMISSION
2598/12,01-03-2013,Demolition of an exi,16-05-2012,Dublin Exchange Faci,Decision Notices Iss,08-01-2013,16-05-2012,Permission,GRANT PERMISSION
4153/08,13-11-2008,Removal of existing,21-08-2008,An Post National Lot,Decision Notices Iss,06-10-2008,21-08-2008,Permission,GRANT PERMISSION
3884/18,07-12-2018,Planning Permission,06-09-2018,Site  c 0.21 ha with,Decision Notices Iss,31-10-2018,06-09-2018,Permission,GRANT PERMISSION
3935/15,29-01-2016,The proposed develop,03-11-2015,2  Harbourmaster Pla,Decision Notices Iss,11-12-2015,03-11-2015,Permission,GRANT PERMISSION
3741/17,04-12-2017,PROTECTED STRUCTURE:,30-08-2017,45-47  Mary Street,Decision Notices Iss,24-10-2017,30-08-2017,Permission,GRANT PERMISSION
2208/12,NULL,PROTECTED STRUCTURE:,21-02-2012,22-24 Chapel House P,Decision Notices Iss,20-03-2012,21-02-2012,Permission,APPLICATION DECLARED
2372/12,26-06-2012,PROTECTED STRUCTURE:,29-03-2012,22-24 Chapel House P,Decision Notices Iss,16-05-2012,29-03-2012,Permission,GRANT PERMISSION
3428/13,04-04-2014,PROTECTED STRUCTURE:,21-10-2013,45-47  Mary Street,Decision Notices Iss,21-02-2014,27-01-2014,Permission,GRANT PERMISSION
4145/18,22-01-2019,Amendments & extensi,10-10-2018,24-26  City Quay  Du,Decision Notices Iss,04-12-2018,10-10-2018,Permission,GRANT PERMISSION
3162/09,NULL,Change of use of exi,04-06-2009,24-26  City Quay  Du,Decision Notices Iss,01-07-2009,04-06-2009,Permission,APPLICATION DECLARED
3559/09,NULL,Change of use of exi,24-07-2009,24-26  City Quay  Du,Appeal Decided,02-09-2009,24-07-2009,Permission,REFUSE PERMISSION
2998/17,15-12-2017,Extensions above the,25-05-2017,24-26  City Quay  Du,Appeal Decided,19-07-2017,25-05-2017,Permission,GRANT PERMISSION
3434/09,NULL,Change of use of exi,08-07-2009,24-26  City Quay  Du,Decision Notices Iss,13-07-2009,08-07-2009,Permission,APPLICATION DECLARED
3475/10,24-11-2010,Install security rai,25-08-2010,24-26  City Quay  Du,Decision Notices Iss,13-10-2010,25-08-2010,Permission,GRANT PERMISSION
2943/16,16-08-2016,PROTECTED STRUCTURE:,24-05-2016,Penneys Store  PO Bo,Decision Notices Iss,12-07-2016,24-05-2016,Permission,GRANT PERMISSION
3681/13,26-03-2014,PROTECTED STRUCTURE:,11-12-2013,Penneys  PO Box 644,Decision Notices Iss,13-02-2014,11-12-2013,Permission,GRANT PERMISSION
3829/16,05-05-2017,PROTECTED STRUCTURE:,29-09-2016,Pennys Stores  P.O B,Appeal Decided,23-11-2016,29-09-2016,Permission,GRANT PERMISSION
4226/15,NULL,PROTECTED STRUCTURE:,15-12-2015,Penneys Store  PO Bo,Decision Notices Iss,17-02-2016,15-12-2015,Permission,REFUSE PERMISSION
